date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:05:37	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20May%202020%2006:05:37%20GMT	http://okamiowl.tk/robots.txt		(from )
09:05:37	2176/2176	---M-Z	200	added ('OK')	text/html	etag:%22880-5a6d4b2b40937-gzip%22	http://okamiowl.tk/	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/index.html	(from )
09:05:37	2699/2699	---M-Z	200	added ('OK')	text/css	etag:%22a8b-59119ba751b00-gzip%22	http://okamiowl.tk/bitnami.css	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/bitnami.css	(from http://okamiowl.tk/)
09:05:38	3738/3738	---M--	200	added ('OK')	image/png	etag:%22e9a-59119ba751b00%22	http://okamiowl.tk/img/bitnami.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/bitnami.png	(from http://okamiowl.tk/)
09:05:38	4826/4826	---M--	200	added ('OK')	image/png	etag:%2212da-59119ba751b00%22	http://okamiowl.tk/img/wordpress.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/wordpress.png	(from http://okamiowl.tk/)
09:05:38	28095/28095	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2006:05:38%20GMT	http://okamiowl.tk/wordpress/	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/wordpress/index.html	(from http://okamiowl.tk/)
09:05:39	147/147	---M--	200	added ('OK')	image/png	etag:%2293-59119ba751b00%22	http://okamiowl.tk/img/header_bg.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/header_bg.png	(from http://okamiowl.tk/bitnami.css)
09:05:39	162/162	---M--	200	added ('OK')	image/png	etag:%22a2-59119ba751b00%22	http://okamiowl.tk/img/menu_bg.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/menu_bg.png	(from http://okamiowl.tk/bitnami.css)
09:05:39	15354/15354	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2006:05:39%20+0000	http://okamiowl.tk/phpmyadmin/	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/phpmyadmin/index.html	(from http://okamiowl.tk/)
09:05:39	146/146	---M--	200	added ('OK')	image/png	etag:%2292-59119ba751b00%22	http://okamiowl.tk/img/sub_header_bg.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/sub_header_bg.png	(from http://okamiowl.tk/bitnami.css)
09:05:39	454/454	---M--	200	added ('OK')	image/png	etag:%221c6-59119ba751b00%22	http://okamiowl.tk/img/round_table_top_left.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/round_table_top_left.png	(from http://okamiowl.tk/bitnami.css)
09:05:39	184/184	---M--	200	added ('OK')	image/png	etag:%22b8-59119ba751b00%22	http://okamiowl.tk/img/round_table_middle_top.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/round_table_middle_top.png	(from http://okamiowl.tk/bitnami.css)
09:05:40	449/449	---M--	200	added ('OK')	image/png	etag:%221c1-59119ba751b00%22	http://okamiowl.tk/img/round_table_top_right.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/round_table_top_right.png	(from http://okamiowl.tk/bitnami.css)
09:05:40	157/157	---M--	200	added ('OK')	image/png	etag:%229d-59119ba751b00%22	http://okamiowl.tk/img/round_table_middle_left.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/round_table_middle_left.png	(from http://okamiowl.tk/bitnami.css)
09:05:40	159/159	---M--	200	added ('OK')	image/png	etag:%229f-59119ba751b00%22	http://okamiowl.tk/img/round_table_middle_right.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/round_table_middle_right.png	(from http://okamiowl.tk/bitnami.css)
09:05:40	465/465	---M--	200	added ('OK')	image/png	etag:%221d1-59119ba751b00%22	http://okamiowl.tk/img/round_table_bottom_left.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/round_table_bottom_left.png	(from http://okamiowl.tk/bitnami.css)
09:05:40	176/176	---M--	200	added ('OK')	image/png	etag:%22b0-59119ba751b00%22	http://okamiowl.tk/img/round_table_middle_bottom.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/round_table_middle_bottom.png	(from http://okamiowl.tk/bitnami.css)
09:05:41	464/464	---M--	200	added ('OK')	image/png	etag:%221d0-59119ba751b00%22	http://okamiowl.tk/img/round_table_bottom_right.png	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/img/round_table_bottom_right.png	(from http://okamiowl.tk/bitnami.css)
09:05:41	4098/4098	---M-Z	200	added ('OK')	text/css	etag:%221002-5a6d4bd0e33e0-gzip%22	http://okamiowl.tk/wordpress/wp-content/themes/themify-ultra/themify/css/themify.common.min.css?ver=4.8.5	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/wordpress/wp-content/themes/themify-ultra/themify/css/themify.common.min341d.css	(from http://okamiowl.tk/wordpress/)
09:05:41	53593/53593	---M-Z	200	added ('OK')	text/css	etag:%22d159-5a40b11d01b80-gzip%22	http://okamiowl.tk/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.4.1	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/wordpress/wp-includes/css/dist/block-library/style.minc225.css	(from http://okamiowl.tk/wordpress/)
09:05:41	1825/1825	---M-Z	200	added ('OK')	application/rss+xml	etag:%22978f7cac14df9d069300460c1a027ec6-gzip%22	http://okamiowl.tk/wordpress/feed/	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/wordpress/feed/index.html	(from http://okamiowl.tk/wordpress/)
09:05:41	98674/98674	---M-Z	200	added ('OK')	text/css	etag:%2218172-5a6d4bd0acf14-gzip%22	http://okamiowl.tk/wordpress/wp-content/themes/themify-ultra/style.min.css?ver=2.7.4	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/wordpress/wp-content/themes/themify-ultra/style.minae29.css	(from http://okamiowl.tk/wordpress/)
09:05:42	22935/22935	---M-Z	200	added ('OK')	text/css	etag:%225997-5a6d4bd081dc6-gzip%22	http://okamiowl.tk/wordpress/wp-content/themes/themify-ultra/media-queries.min.css?ver=2.7.4	C:/Bitnami/wordpress-5.4.1-0/cape/okamiowl.tk/wordpress/wp-content/themes/themify-ultra/media-queries.minae29.css	(from http://okamiowl.tk/wordpress/)
